rank,word,count,zipf
988,kurze,49,48412
989,stadtteil,49,48461
990,praxis,49,48510
991,kurzen,49,48559
992,kunst,49,48608
993,n,49,48657
994,revolution,49,48706
995,situation,49,48755
996,ältesten,49,48804
997,verschiedener,49,48853
998,grenzen,49,48902
999,vorhanden,49,48951
1000,existiert,49,49000
1001,hoher,49,49049
1002,derzeit,49,49098
1003,privaten,49,49147
1004,ergebnis,49,49196
1005,digitalen,49,49245
1006,robert,49,49294
1007,jährlich,49,49343
1008,pythagoras,49,49392
1009,stühlingen,49,49441
1010,blues,49,49490
1011,verbreitete,48,48528
1012,zufolge,48,48576
1013,roman,48,48624
1014,university,48,48672
1015,stammen,48,48720
1016,erklärte,48,48768
1017,amt,48,48816
1018,gesetz,48,48864
1019,verhältnis,48,48912
1020,religion,48,48960
1021,einfach,48,49008
1022,james,48,49056
1023,übrigen,48,49104
1024,position,48,49152
1025,gewann,48,49200
1026,technischen,48,49248
1027,anschluss,48,49296
1028,engl,48,49344
1029,mussten,48,49392
1030,eigenschaften,48,49440
1031,wörter,48,49488
1032,königreich,48,49536
1033,männer,48,49584
1034,blut,48,49632
1035,immunsystem,48,49680
1036,weist,48,49728
1037,studenten,48,49776
1038,primzahlen,48,49824
1039,entstehen,47,48833
1040,solchen,47,48880
1041,italienischen,47,48927
1042,maria,47,48974
1043,lehre,47,49021
1044,schwer,47,49068
1045,bedingungen,47,49115
1046,zumeist,47,49162
1047,tochter,47,49209
1048,münchen,47,49256
1049,bestandteil,47,49303
1050,dar,47,49350
1051,temperatur,47,49397
1052,hierbei,47,49444
1053,daran,47,49491
1054,f,47,49538
1055,existieren,47,49585
1056,übertragen,47,49632
1057,methoden,47,49679
1058,entwickelten,47,49726
1059,kaiser,47,49773
1060,besten,47,49820
1061,meistens,46,48806
1062,deutschsprachigen,46,48852
1063,gehen,46,48898
1064,entstehung,46,48944
1065,anders,46,48990
1066,wurdedie,46,49036
1067,museum,46,49082
1068,johann,46,49128
1069,vorwiegend,46,49174
1070,trennung,46,49220
1071,koalition,46,49266
1072,gefunden,46,49312
1073,regelmäßig,46,49358
1074,deutscher,46,49404
1075,verbunden,46,49450
1076,entlang,46,49496
1077,südsudan,46,49542
1078,definiert,46,49588
1079,erkennen,46,49634
1080,studium,46,49680
1081,fidschi,46,49726
1082,stadtgebiet,46,49772
1083,landwirtschaft,46,49818
1084,gründete,46,49864
1085,primaten,46,49910
1086,pocken,46,49956
1087,arafat,46,50002
1088,breiten,45,48960
1089,gemäß,45,49005
1090,gingen,45,49050
1091,tagen,45,49095
1092,aufgenommen,45,49140
1093,veröffentlichte,45,49185
1094,technik,45,49230
1095,rechte,45,49275
1096,entsprechende,45,49320
1097,europas,45,49365
1098,aufbau,45,49410
1099,vertreten,45,49455
1100,verwendete,45,49500
1101,möglichst,45,49545
1102,historischen,45,49590
1103,durchgeführt,45,49635
1104,wichtigste,45,49680
1105,unterschiede,45,49725
1106,mengen,45,49770
1107,bestimmt,45,49815
1108,gehörten,45,49860
1109,schulen,45,49905
1110,wirddie,45,49950
1111,parasiten,45,49995
1112,regionale,45,50040
1113,provinz,45,50085
1114,nebel,45,50130
1115,schleusen,45,50175
1116,beweis,45,50220
1117,pinguine,45,50265
1118,prädikatenlogik,45,50310
1119,licht,44,49236
1120,samen,44,49280
1121,wissenschaft,44,49324
1122,bald,44,49368
1123,werte,44,49412
1124,geld,44,49456
1125,prozess,44,49500
1126,großteil,44,49544
1127,eigentlich,44,49588
1128,fluss,44,49632
1129,herrschaft,44,49676
1130,versuchte,44,49720
1131,verloren,44,49764
1132,benutzt,44,49808
1133,üblich,44,49852
1134,darf,44,49896
1135,organisationen,44,49940
1136,erhält,44,49984
1137,wirtschaftlichen,44,50028
1138,status,44,50072
1139,probleme,44,50116
1140,bundestag,44,50160
1141,südlich,44,50204
1142,verlor,44,50248
1143,völlig,44,50292
1144,gegeben,44,50336
1145,psychologie,44,50380
1146,erreger,44,50424
1147,beos,44,50468
1148,oberen,43,49364
1149,geringer,43,49407
1150,sonne,43,49450
1151,abhängig,43,49493
1152,wissenschaftliche,43,49536
1153,angesehen,43,49579
1154,nutzen,43,49622
1155,größer,43,49665
1156,zuerst,43,49708
1157,andererseits,43,49751
1158,gemeinsamen,43,49794
1159,britische,43,49837
1160,hielt,43,49880
1161,eingeführt,43,49923
1162,verständnis,43,49966
1163,provinzen,43,50009
1164,opfer,43,50052
1165,staatliche,43,50095
1166,groß,43,50138
1167,tabelle,43,50181
1168,stets,43,50224
1169,vereinten,43,50267
1170,anwendung,43,50310
1171,taler,43,50353
1172,mittelhochdeutsch,43,50396
1173,sender,43,50439
1174,gottes,43,50482
1175,historische,43,50525
1176,farbe,43,50568
1177,erfolgreich,43,50611
1178,trägt,43,50654
1179,gmbh,43,50697
1180,halbinsel,43,50740
1181,gesprochen,43,50783
1182,penicillin,43,50826
1183,phase,42,49686
1184,nördlichen,42,49728
1185,verhalten,42,49770
1186,thema,42,49812
1187,neuer,42,49854
1188,medizin,42,49896
1189,unmittelbar,42,49938
1190,führten,42,49980
1191,setzt,42,50022
1192,linie,42,50064
1193,juden,42,50106
1194,führung,42,50148
1195,weder,42,50190
1196,eng,42,50232
1197,nationale,42,50274
1198,soldaten,42,50316
1199,nationen,42,50358
1200,ausbildung,42,50400
1201,brasilien,42,50442
1202,australien,42,50484
1203,zdf,42,50526
1204,weshalb,42,50568
1205,theater,42,50610
1206,hätten,42,50652
1207,falter,42,50694
1208,bewegung,41,49528
1209,mittel,41,49569
1210,winter,41,49610
1211,gold,41,49651
1212,iii,41,49692
1213,wollte,41,49733
1214,bekanntesten,41,49774
1215,wiener,41,49815
1216,themen,41,49856
1217,sicht,41,49897
1218,trug,41,49938
1219,unteren,41,49979
1220,york,41,50020
1221,anschließend,41,50061
1222,christlichen,41,50102
1223,angenommen,41,50143
1224,christian,41,50184
